Periodo,IPCGEN,IPCSAE,IPCSV,TPM
01may2011,3.3,1.2,2.231624633,4.8
01jun2011,3.4,.9,2.083693398,5.13
01jul2011,2.9,.4,2.178257067,5.25
01aug2011,3.2,1.2,2.034257847,5.25
01sep2011,3.3,1.2,1.936216805,5.25
01oct2011,3.7,1.5,2.046967145,5.25
01nov2011,3.9,1.9,2.251520638,5.25
01dec2011,4.4,2.4,2.616667978,5.25
01jan2012,4.2,2.6,2.955210798,5.1
01feb2012,4.4,2.7,3.003225218,5
01mar2012,3.8,2.3,2.899787955,5
01apr2012,3.5,2.5,2.951710222,5
01may2012,3.1,2.4,2.636878634,5
01jun2012,2.7,2.5,2.702710849,5
01jul2012,2.5,2.5,2.644442719,5
01aug2012,2.6,2,2.593828702,5
01sep2012,2.8,2,2.755230737,5
01oct2012,2.9,1.9,2.754748976,5
01nov2012,2.1,1.8,2.70812292,5
01dec2012,1.5,1.5,2.588892627,5
01jan2013,1.6,1.1,2.406430113,5
01feb2013,1.3,.8,2.188733297,5
01mar2013,1.5,1.1,2.344048616,5
01apr2013,1,.8,2.292001925,5
01may2013,.9,.9,2.246441005,5
01jun2013,1.9,.8,2.206012769,5
01jul2013,2.2,.9,2.214317573,5
01aug2013,2.2,1.2,2.329703908,5
01sep2013,2,1.4,2.431967432,5
01oct2013,1.5,1.6,2.657527242,4.9
01nov2013,2.4,1.8,2.684965082,4.65
01dec2013,3,2.1,2.767405956,4.5
01jan2014,2.8,2.4,3.161895887,4.5
01feb2014,3.2,2.5,3.418194215,4.4
01mar2014,3.5,2.7,3.692389482,4.11
01apr2014,4.3,3.5,4.252359557,4
01may2014,4.7,3.8,4.575938778,4
01jun2014,4.3,3.6,4.703475693,4
01jul2014,4.5,3.7,4.678948573,3.88
01aug2014,4.5,4,4.671443335,3.63
01sep2014,4.9,3.9,4.735950225,3.36
01oct2014,5.7,4.1,4.90656903,3.14
01nov2014,5.5,4.3,4.984594611,3
01dec2014,4.6,4.3,4.867154961,3
01jan2015,4.5,4.8,5.063396597,3
01feb2015,4.4,4.7,5.170963532,3
01mar2015,4.2,4.6,5.060448284,3
01apr2015,4.1,4.3,5.013966395,3
01may2015,4,4.2,4.962277667,3
01jun2015,4.4,4.7,5.027100853,3
01jul2015,4.6,4.9,5.288123155,3
01aug2015,5,4.9,5.508136825,3
01sep2015,4.6,4.9,5.365152189,3
01oct2015,4,4.8,5.289428441,3.13
01nov2015,3.9,4.7,5.222144477,3.25
01dec2015,4.4,4.7,5.238464309,3.35
01jan2016,4.8,4.8,5.08121598,3.5
01feb2016,4.7,5,5.047428334,3.5
01mar2016,4.5,4.8,4.825215484,3.5
01apr2016,4.2,4.6,4.679455641,3.5
01may2016,4.2,4.3,4.475750272,3.5
01jun2016,4.2,4.2,4.346627017,3.5
01jul2016,4,4.2,4.324918068,3.5
01aug2016,3.4,3.9,4.051912935,3.5
01sep2016,3.1,3.4,3.625348627,3.5
01oct2016,2.8,3.2,3.216455395,3.5
01nov2016,2.9,3,3.242447665,3.5
01dec2016,2.7,2.8,3.093412805,3.5
01jan2017,2.8,2.5,3.154557058,3.5
01feb2017,2.7,2.2,3.087386686,3.25
01mar2017,2.7,2.2,2.851093369,3.13
01apr2017,2.7,2.1,2.725779866,2.88
01may2017,2.6,2.5,2.67376674,2.65
01jun2017,1.7,1.8,2.557679896,2.5
01jul2017,1.7,2,2.352630676,2.5
01aug2017,1.9,1.8,2.228567891,2.5
01sep2017,1.5,1.8,2.184706936,2.5
01oct2017,1.9,1.9,2.370362491,2.5
01nov2017,1.9,1.8,2.114388337,2.5
01dec2017,2.3,1.9,2.110439103,2.5
01jan2018,2.2,1.6,2.057848693,2.5
01feb2018,2,1.6,1.744788351,2.5
01mar2018,1.8,1.6,1.848014364,2.5
01apr2018,1.9,1.6,1.769783998,2.5
01may2018,2,1.6,1.879932328,2.5
01jun2018,2.5,1.9,1.984716092,2.5
01jul2018,2.7,1.9,2.036817659,2.5
01aug2018,2.6,1.9,2.164658835,2.5
01sep2018,3.1,2.1,2.201131907,2.5
01oct2018,2.9,2.1,2.131734846,2.6
01nov2018,2.8,2.2,2.322116797,2.75
